split_col	model	train_n	valid_n	test_n	train_pos_rate	valid_pos_rate	test_pos_rate	valid_threshold_mcc	auprc	auroc	mcc	macro_f1	balanced_accuracy	brier	ece	precision_at_50	auprc_ci_low	auprc_ci_high
S4_assay_out_split	class_prior	2570	793	461	0.6797665369649806	0.7061790668348046	0.735357917570499	0.6797665369649806	0.735357917570499	0.5	0.0	0.42375	0.5	0.19769705223450587	0.0555913806055186	0.56	0.6994577006507592	0.7684924078091107
S4_assay_out_split	source_assay_only	2570	793	461	0.6797665369649806	0.7061790668348046	0.735357917570499	0.5068576582016331	0.735357917570499	0.5	0.0	0.42375	0.5	0.24681901916851723	0.2285002593688661	0.56	0.6963123644251626	0.7744034707158352
S4_assay_out_split	topology_only	2570	793	461	0.6797665369649806	0.7061790668348046	0.735357917570499	0.674244869600903	0.8561543141108905	0.6473959088930799	0.2516090168862377	0.45405175871098635	0.6166763383142317	0.21278006978385164	0.1801053471541699	1.0	0.821820035269475	0.8891169586252025
S4_assay_out_split	motif_only	2570	793	461	0.6797665369649806	0.7061790668348046	0.735357917570499	0.5413543065111206	0.8497614067881549	0.6396706804004062	0.2746411532322503	0.5823299041384148	0.6548309879587988	0.22783602623570204	0.18561854829628086	1.0	0.8151723394667504	0.8798585285920499
S4_assay_out_split	sequence_logistic	2570	793	461	0.6797665369649806	0.7061790668348046	0.735357917570499	0.3030784836039402	0.8431806538572144	0.627266792398085	0.11618635472068409	0.55543682235196	0.5534721214758934	0.26355791896841735	0.22689532679632385	0.98	0.8084373531380831	0.8795014999408984
S4_assay_out_split	sequence_random_forest	2570	793	461	0.6797665369649806	0.7061790668348046	0.735357917570499	0.6451090426604559	0.9049185056105482	0.7741549397939939	0.3413419383749149	0.6597602693602693	0.6877508583587214	0.1551496818695429	0.06827220831692438	1.0	0.8716554282837007	0.9271170054267613
S4_assay_out_split	ptm_delta_only	2570	793	461	0.6797665369649806	0.7061790668348046	0.735357917570499	0.5556387348556104	0.7457500189484616	0.5228009091348711	0.0938871400513055	0.4555461073318216	0.5499419701146091	0.25868408026843787	0.23823542826194097	0.72	0.7040291525584557	0.8037052223753846
S4_assay_out_split	counterfactual_no_ptmchem_logistic	2570	793	461	0.6797665369649806	0.7061790668348046	0.735357917570499	0.36846680978487256	0.8529127813667332	0.6577808404661734	0.1530189795430529	0.5761469187609034	0.5784007930751003	0.2581386893498246	0.20411165502470696	0.94	0.8139364734781862	0.8911660063406527
S4_assay_out_split	counterfactual_logistic	2570	793	461	0.6797665369649806	0.7061790668348046	0.735357917570499	0.3633218544814733	0.8475006995209993	0.6620121862759322	0.13313889307222956	0.5664404761904762	0.5675806373615746	0.25291519733888346	0.20791649590493166	0.92	0.8077897044492266	0.8891054567918057
S4_assay_out_split	counterfactual_mlp	2570	793	461	0.6797665369649806	0.7061790668348046	0.735357917570499	0.9070200300216674	0.8945173071275796	0.7451279075390493	0.24296986134998422	0.6118858475088507	0.6334929155181586	0.20723887326750384	0.18929347980145256	0.96	0.867132171717325	0.920335281773578
